Wall time,Step,Value
1710352734.1630802,1,0.18150900304317474
1710352773.7480853,2,0.3237299919128418
1710352815.3800805,3,0.38575300574302673
1710352855.0070868,4,0.3130260109901428
1710352894.3320844,5,0.45522698760032654
1710352933.951087,6,0.5210760235786438
1710352973.0590866,7,0.6029030084609985
1710353013.0340803,8,0.6281160116195679
1710353052.8730867,9,0.638126015663147
1710353092.3610933,10,0.6403909921646118
1710353131.3180938,11,0.740917980670929
1710353170.7300866,12,0.7732589840888977
1710353210.18108,13,0.7461649775505066
1710353249.331087,14,0.8284649848937988
1710353288.8710868,15,0.8277599811553955
1710353328.046087,16,0.7972090244293213
1710353367.219085,17,0.7706680297851562
1710353406.57908,18,0.8264949917793274
1710353446.2050781,19,0.842648983001709
1710353486.0380805,20,0.8568729758262634
1710353525.8480937,21,0.870015025138855
1710353565.944087,22,0.8013449907302856
1710353606.0440936,23,0.7904319763183594
1710353645.1920798,24,0.8226670026779175
1710353684.5030801,25,0.8367130160331726
1710353723.7460785,26,0.8007130026817322
1710353763.0570803,27,0.8756200075149536
1710353802.7770865,28,0.8173080086708069
1710353841.6700802,29,0.8469030261039734
1710353881.0860803,30,0.8715749979019165
1710353920.5520759,31,0.8947259783744812
1710353960.2030756,32,0.8328989744186401
1710353999.592078,33,0.856486976146698
1710354038.9880757,34,0.8904629945755005
1710354078.601087,35,0.8825640082359314
1710354118.1480758,36,0.9032930135726929
1710354158.0360758,37,0.8680430054664612
1710354197.9750843,38,0.8437730073928833
1710354237.4250932,39,0.86012202501297
1710354277.1880758,40,0.8322269916534424
1710354316.5580761,41,0.8839690089225769
1710354356.2570934,42,0.8715749979019165
1710354395.8930929,43,0.8672969937324524
1710354435.3820934,44,0.8989899754524231
1710354474.712085,45,0.879302978515625
1710354514.2030785,46,0.8740230202674866
1710354553.659085,47,0.8815469741821289
1710354593.090076,48,0.8672969937324524
1710354632.274076,49,0.8640509843826294
1710354671.5000932,50,0.8815469741821289
1710354711.314078,51,0.8664590120315552
1710354751.068078,52,0.8707759976387024
1710354790.4620934,53,0.8705580234527588
1710354830.074076,54,0.8670790195465088
1710354869.3140872,55,0.8764449954032898
1710354909.0050778,56,0.8925359845161438
1710354948.398078,57,0.8823320269584656
1710354987.7900755,58,0.8670259714126587
1710355027.0240932,59,0.8721280097961426
1710355066.506078,60,0.8925359845161438
1710355105.6550937,61,0.8916980028152466
1710355144.8930757,62,0.8823320269584656
1710355184.5920935,63,0.8713430166244507
1710355224.0530763,64,0.8823320269584656
1710355263.4720757,65,0.8611389994621277
1710355303.3890758,66,0.8817790150642395
1710355342.5520759,67,0.8815469741821289
1710355382.141093,68,0.9035249948501587
1710355421.494076,69,0.8866490125656128
1710355460.5240757,70,0.8541820049285889
1710355499.9830759,71,0.869488000869751
1710355539.2310758,72,0.8764449954032898
1710355578.7280867,73,0.8797159790992737
1710355618.110076,74,0.8882719874382019
1710355657.4860756,75,0.8780679702758789
1710355697.098076,76,0.8823320269584656
1710355736.383076,77,0.8713430166244507
1710355775.2970757,78,0.8764449954032898
1710355814.3310761,79,0.8815469741821289
1710355853.9970758,80,0.8847939968109131
1710355893.1980784,81,0.8729659914970398
1710355932.3050756,82,0.8815469741821289
1710355972.3720758,83,0.8713430166244507
1710356011.6170783,84,0.8713430166244507
1710356051.2880757,85,0.8764449954032898
1710356090.6740866,86,0.8831700086593628
1710356130.1820934,87,0.8815469741821289
1710356169.7790933,88,0.8764449954032898
1710356209.2540932,89,0.8713430166244507
1710356248.5260754,90,0.8729659914970398
1710356288.5520804,91,0.8713430166244507
1710356328.1190758,92,0.8713430166244507
1710356367.9040756,93,0.8713430166244507
1710356407.3260758,94,0.8713430166244507
1710356446.562087,95,0.8764449954032898
1710356485.9250934,96,0.8815469741821289
1710356525.1660779,97,0.8831700086593628
1710356564.1010876,98,0.8831700086593628
1710356602.992087,99,0.8815469741821289
1710356642.366094,100,0.8815469741821289
